timestamps,open,high,low,close,volume,amount,fgi_value,fundingRate
2025-02-28 00:00:00,84708.57,84892.85,84214.43,84258.65,919.55976,77480863.97192399,16,0.0
2025-02-28 01:00:00,84258.65,84405.17,81111.0,81661.55,7113.15311,580871108.3499205,16,0.0
2025-02-28 02:00:00,81661.55,82874.0,79532.0,80805.5,11937.38959,964606734.514745,16,0.0
2025-02-28 03:00:00,80805.5,81539.25,80256.05,80452.44,4133.11073,332518843.0186812,16,0.0
2025-02-28 04:00:00,80452.89,80969.69,79400.0,80410.5,5207.4945,418737236.49224997,16,0.0
2025-02-28 05:00:00,80410.49,80547.32,79152.0,79973.79,4262.42065,340881933.9547635,16,0.0
2025-02-28 06:00:00,79973.79,80440.44,79034.97,79344.56,3849.39411,305428481.9245416,16,0.0
2025-02-28 07:00:00,79344.56,80275.72,78820.06,79204.59,4679.55925,370642571.7769575,16,0.0
2025-02-28 08:00:00,79204.6,79438.33,78258.52,78975.99,4691.80611,370540032.425299,16,0.0
2025-02-28 09:00:00,78975.98,80729.91,78896.22,80343.11,3560.42579,286055680.8928069,16,0.0
2025-02-28 10:00:00,80343.11,80467.43,79544.71,80011.02,1692.08922,135385784.42320442,16,0.0
2025-02-28 11:00:00,80011.02,80854.46,79981.13,80513.38,2009.50205,161791802.162429,16,0.0
2025-02-28 12:00:00,80512.97,80829.92,80075.47,80779.61,1874.89584,151453354.7458224,16,0.0
2025-02-28 13:00:00,80779.62,81764.94,80621.1,81512.42,3963.49211,323073833.5370062,16,0.0
2025-02-28 14:00:00,81512.42,82549.47,81072.23,82105.05,4593.23048,377127418.221924,16,0.0
2025-02-28 15:00:00,82105.06,84425.89,81998.26,84005.05,5193.46468,436277260.116634,16,0.0
2025-02-28 16:00:00,84005.05,84920.0,83426.0,84363.69,3435.29976,289814564.0097144,16,0.0
2025-02-28 17:00:00,84363.68,84400.0,83584.9,83605.12,1966.06295,164372928.862304,16,0.0
2025-02-28 18:00:00,83605.11,85120.0,83196.71,84440.97,2582.5555,218073491.498835,16,0.0
2025-02-28 19:00:00,84440.97,84810.35,84209.84,84449.99,1656.89446,139924720.5780554,16,0.0
2025-02-28 20:00:00,84450.0,84795.03,83600.0,84191.27,2215.50549,186526220.8950723,16,0.0
2025-02-28 21:00:00,84190.51,84596.0,84000.17,84258.37,862.30163,72656129.7921431,16,0.0
2025-02-28 22:00:00,84258.38,84481.14,83888.0,84149.98,650.29671,54722455.1405658,16,0.0
2025-02-28 23:00:00,84149.99,84548.43,84014.0,84349.94,598.13521,50452669.0753874,16,0.0
2025-03-01 00:00:00,84349.95,84628.93,83824.78,83857.92,636.60016,53383965.2892672,20,0.0
2025-03-01 01:00:00,83857.91,84870.68,83845.86,84656.93,1147.78686,97168111.86193979,20,0.0
2025-03-01 02:00:00,84656.93,85678.11,84358.34,85240.46,2313.11212,197170741.1403752,20,0.0
2025-03-01 03:00:00,85240.45,85511.91,84961.44,85330.84,1000.29878,85356335.1483752,20,0.0
2025-03-01 04:00:00,85330.83,86558.0,85304.0,86190.01,1664.09676,143428516.38536757,20,0.0
2025-03-01 05:00:00,86190.0,86266.25,85569.91,85588.19,871.35628,74577806.8503332,20,0.0
2025-03-01 06:00:00,85588.19,85663.49,84828.86,85075.62,1526.55776,129872847.89781119,20,0.0
2025-03-01 07:00:00,85075.63,85075.63,84740.15,84740.15,3116.38081,264082577.29652148,20,0.0
2025-03-01 08:00:00,84740.16,85335.19,84740.15,85303.37,1088.87896,92885044.81009519,20,0.0
2025-03-01 09:00:00,85303.37,85508.79,85118.03,85380.0,639.99578,54642839.696399994,20,0.0
2025-03-01 10:00:00,85379.99,85436.0,84800.0,84900.01,1584.91058,134558924.0911058,20,0.0
2025-03-01 11:00:00,84900.01,84967.92,84382.62,84632.79,1523.87619,128969893.57427008,20,0.0
2025-03-01 12:00:00,84632.79,84943.08,84477.25,84758.86,1051.89415,89157348.994669,20,0.0
2025-03-01 13:00:00,84758.86,84935.68,84334.39,84532.24,1237.26383,104588683.02087921,20,0.0
2025-03-01 14:00:00,84532.25,84858.56,84423.98,84713.99,638.44367,54085110.6759433,20,0.0
2025-03-01 15:00:00,84714.0,84924.53,84560.89,84800.0,629.19528,53355759.744,20,0.0
2025-03-01 16:00:00,84800.01,85298.79,84700.0,85274.82,935.29327,79756965.2464614,20,0.0
2025-03-01 17:00:00,85274.81,85373.4,84958.05,85214.7,999.09519,85137596.887293,20,0.0
2025-03-01 18:00:00,85214.69,85338.64,85075.47,85327.57,410.57763,35033591.4642591,20,0.0
2025-03-01 19:00:00,85327.58,85591.84,85207.54,85485.41,490.48001,41928884.7516541,20,0.0
2025-03-01 20:00:00,85485.41,85595.95,85339.62,85537.73,370.51549,31693053.944437698,20,0.0
2025-03-01 21:00:00,85537.73,86150.0,85285.88,86076.86,646.38322,55638637.9342892,20,0.0
2025-03-01 22:00:00,86076.86,86262.74,85668.3,86116.35,814.1121,70108362.54283501,20,0.0
2025-03-01 23:00:00,86116.36,86200.0,85679.24,86064.53,447.94976,38552585.5580128,20,0.0
2025-03-02 00:00:00,86064.54,86318.18,85801.0,86026.62,551.73014,47463479.0963268,26,0.0
2025-03-02 01:00:00,86026.62,86377.44,85990.0,86354.93,560.64417,48414388.055258095,26,0.0
2025-03-02 02:00:00,86354.94,86498.0,85611.79,85774.01,845.94134,72559780.9565734,26,0.0
2025-03-02 03:00:00,85774.01,86219.82,85773.59,85873.07,445.52217,38258356.4909619,26,0.0
2025-03-02 04:00:00,85873.06,85886.0,85531.87,85752.8,704.94079,60450646.576712005,26,0.0
2025-03-02 05:00:00,85752.8,86048.61,85672.84,85957.51,350.53721,30131305.7339471,26,0.0
2025-03-02 06:00:00,85957.51,86589.97,85923.58,86277.65,583.42796,50336793.33309399,26,0.0
2025-03-02 07:00:00,86277.66,86350.0,86075.09,86232.42,577.2376,49776595.162992,26,0.0
2025-03-02 08:00:00,86232.42,86263.23,85708.93,85754.71,704.89479,60448048.2969609,26,0.0
2025-03-02 09:00:00,85754.72,86120.0,85633.13,85901.3,567.84232,48778393.483016,26,0.0
2025-03-02 10:00:00,85901.3,86008.81,85792.45,86006.0,442.91374,38093239.12244,26,0.0
2025-03-02 11:00:00,86006.01,86220.22,85954.0,86105.89,365.30841,31455205.767534897,26,0.0
2025-03-02 12:00:00,86105.88,86105.89,85750.0,85986.18,363.10992,31222434.940905597,26,0.0
2025-03-02 13:00:00,85986.19,86000.0,85477.81,85710.81,554.51268,47527730.9580708,26,0.0
2025-03-02 14:00:00,85710.81,85911.84,85050.6,85107.45,1406.02942,119663578.561179,26,0.0
2025-03-02 15:00:00,85107.45,88673.09,85075.47,87427.99,7619.5081,666158277.971719,26,0.0
2025-03-02 16:00:00,87428.0,91959.99,87278.51,91200.0,11741.72701,1070845503.312,26,0.0
2025-03-02 17:00:00,91200.0,95000.0,90636.0,94093.75,11108.97765,1045285365.7546875,26,0.0
2025-03-02 18:00:00,94093.74,94399.8,92364.39,92794.19,5106.30539,473835472.5576841,26,0.0
2025-03-02 19:00:00,92794.19,93555.81,92608.69,93522.0,2361.41051,220843833.71622002,26,0.0
2025-03-02 20:00:00,93522.01,94446.27,93502.0,94330.0,2236.99961,211016173.2113,26,0.0
2025-03-02 21:00:00,94330.0,94419.83,93670.72,94298.0,1491.71759,140665985.30182,26,0.0
2025-03-02 22:00:00,94298.01,94760.0,93911.11,94247.4,1309.20675,123389332.24994999,26,0.0
2025-03-02 23:00:00,94247.4,94883.51,93800.0,94270.0,2888.64518,272312581.1186,26,0.0
2025-03-03 00:00:00,94269.99,94416.46,93289.79,93314.89,1894.72864,176806394.6214496,33,0.0
2025-03-03 01:00:00,93314.89,93419.99,92649.58,93084.64,1902.36584,177081039.3646976,33,0.0
2025-03-03 02:00:00,93084.64,93442.83,92433.5,93318.24,1492.22069,139251408.4823856,33,0.0
2025-03-03 03:00:00,93318.23,93437.68,92450.0,92709.98,1333.44949,123624075.54891019,33,0.0
2025-03-03 04:00:00,92709.98,92947.67,92590.25,92866.0,996.20708,92513766.69128,33,0.0
2025-03-03 05:00:00,92866.01,93361.46,92830.44,93344.0,1122.18278,104749029.41632001,33,0.0
2025-03-03 06:00:00,93344.78,93344.78,91341.64,91645.99,2089.28035,191474166.0632965,33,0.0
2025-03-03 07:00:00,91646.0,92564.3,91181.0,92363.58,1644.8485,151924096.01763,33,0.0
2025-03-03 08:00:00,92363.58,92394.03,91142.0,91477.54,1993.37636,182349165.7069544,33,0.0
2025-03-03 09:00:00,91477.54,92082.75,91190.27,91847.76,1993.82412,183128279.2559712,33,0.0
2025-03-03 10:00:00,91847.76,92581.86,91546.71,92546.77,1133.77337,104927063.30551492,33,0.0
2025-03-03 11:00:00,92546.76,92917.99,92415.57,92739.99,1193.27894,110664676.9628106,33,0.0
2025-03-03 12:00:00,92740.0,93255.58,92663.19,93027.34,1342.19068,124860428.73319119,33,0.0
2025-03-03 13:00:00,93027.35,93690.0,92882.38,93586.83,1261.80234,118088081.0871822,33,0.0
