timestamps,open,high,low,close,volume,amount
2021-01-01 00:00:00,28923.63,29031.34,28690.17,28995.13,2311.811445,67031273.38326285
2021-01-01 01:00:00,28995.13,29470.0,28960.35,29409.99,5403.068471,158904189.70142528
2021-01-01 02:00:00,29410.0,29465.26,29120.03,29194.65,2384.23156,69606805.913154
2021-01-01 03:00:00,29195.25,29367.0,29150.02,29278.4,1461.345077,42785845.7024368
2021-01-01 04:00:00,29278.41,29395.0,29029.4,29220.31,2038.046803,59552359.37816893
2021-01-01 05:00:00,29220.31,29235.28,29084.11,29187.01,1469.956262,42903628.11855662
2021-01-01 06:00:00,29187.01,29270.0,29077.32,29174.35,1420.726291,41448766.067835845
2021-01-01 07:00:00,29174.35,29191.98,28806.54,29092.83,2380.180918,69246198.81661795
2021-01-01 08:00:00,29092.84,29178.03,28872.24,29000.01,2008.165739,58236826.51265739
2021-01-01 09:00:00,29000.01,29307.73,28970.0,29202.21,2022.056022,59048504.58620862
2021-01-01 10:00:00,29202.21,29344.97,29152.88,29223.82,1944.255841,56818582.731332615
2021-01-01 11:00:00,29223.82,29402.57,29212.44,29313.49,2309.227717,67691523.59000234
2021-01-01 12:00:00,29313.49,29600.0,29150.0,29233.49,4191.915161,122544309.9399419
2021-01-01 13:00:00,29233.49,29470.0,29200.0,29464.79,2211.29829,65155439.74220911
2021-01-01 14:00:00,29464.79,29530.0,29266.15,29327.84,2612.67217,76624031.3742128
2021-01-01 15:00:00,29327.83,29391.0,29030.14,29188.67,2779.063894,81117178.91088097
2021-01-01 16:00:00,29188.67,29360.0,29125.0,29300.57,1490.329484,43667503.36900588
2021-01-01 17:00:00,29300.79,29339.76,28937.0,29079.64,2504.977099,72843832.24716437
2021-01-01 18:00:00,29077.59,29259.98,28624.57,29072.7,4226.430041,122873732.65298069
2021-01-01 19:00:00,29072.7,29125.32,28950.0,29029.04,1629.228721,47294945.71105784
2021-01-01 20:00:00,29029.04,29279.72,28880.37,29200.96,1838.549082,53687398.20151872
2021-01-01 21:00:00,29200.97,29289.82,29130.0,29160.39,1447.229641,42201780.751119986
2021-01-01 22:00:00,29163.17,29326.74,29104.57,29262.32,1127.035897,32979685.06950104
2021-01-01 23:00:00,29262.32,29338.89,29228.14,29331.69,971.123385,28484690.08057065
2021-01-02 00:00:00,29331.7,29338.59,28946.53,29197.48,2638.159379,77027605.70516492
2021-01-02 01:00:00,29197.93,29400.0,29100.0,29359.47,1891.997249,55548036.47209803
2021-01-02 02:00:00,29359.46,29469.0,29320.01,29323.82,1704.830137,49992132.06796334
2021-01-02 03:00:00,29323.82,29382.49,29256.85,29351.95,1158.041761,33990783.86678395
2021-01-02 04:00:00,29351.95,29396.0,29220.0,29349.63,988.71107,29018304.0814041
2021-01-02 05:00:00,29349.63,29590.0,29349.63,29589.99,2778.878231,82226979.0665077
2021-01-02 06:00:00,29589.99,29745.0,29450.0,29709.07,3030.24082,90025636.6382374
2021-01-02 07:00:00,29709.06,29820.5,29623.31,29750.0,3067.812724,91267428.53899999
2021-01-02 08:00:00,29751.47,29849.11,29640.0,29844.51,2358.088241,70375988.08940691
2021-01-02 09:00:00,29844.52,29899.0,29578.05,29612.87,3188.497375,94420558.26121624
2021-01-02 10:00:00,29612.88,29829.0,29473.91,29680.99,2315.182337,68716903.79267363
2021-01-02 11:00:00,29679.51,29780.53,29622.79,29755.0,1365.036655,40616665.669525005
2021-01-02 12:00:00,29754.99,30888.0,29741.39,30604.03,12772.566044,390891994.38755727
2021-01-02 13:00:00,30604.03,31561.87,30521.0,31541.17,9182.429703,289624576.2753725
2021-01-02 14:00:00,31546.06,31567.89,31065.0,31290.53,6447.783897,201754575.4625954
2021-01-02 15:00:00,31290.53,31800.0,31236.37,31691.29,5626.193755,178301337.88589397
2021-01-02 16:00:00,31691.09,33000.0,31616.42,32482.28,15432.285186,501275808.45150405
2021-01-02 17:00:00,32484.28,32935.0,32394.77,32856.96,6402.180701,210356195.20552897
2021-01-02 18:00:00,32856.95,33300.0,32421.0,32999.98,7170.295412,236619605.1900918
2021-01-02 19:00:00,32999.98,33220.0,32690.0,33027.2,5844.856499,193039244.5637728
2021-01-02 20:00:00,33027.2,33061.37,30550.0,30667.22,15733.283112,482496054.5179886
2021-01-02 21:00:00,30669.43,32005.94,30300.0,31694.59,10395.120642,329469086.7487268
2021-01-02 22:00:00,31693.53,32311.92,31424.96,32145.66,3879.062094,124695011.19261204
2021-01-02 23:00:00,32143.53,32246.67,31500.0,32178.33,4622.340338,148739192.76847553
2021-01-03 00:00:00,32176.45,32497.8,31962.99,32447.94,3346.062141,108572823.58743954
2021-01-03 01:00:00,32447.95,32790.07,32201.0,32585.09,3401.152207,110826850.76879363
2021-01-03 02:00:00,32583.04,32884.09,32550.0,32741.67,2017.209759,66046816.24995753
2021-01-03 03:00:00,32741.68,32756.0,32404.0,32573.87,2125.8788,69248099.666956
2021-01-03 04:00:00,32576.11,33250.0,32450.0,33192.53,3436.070984,114051889.21854952
2021-01-03 05:00:00,33192.53,34180.0,33109.44,33758.67,10355.070315,349573401.59088105
2021-01-03 06:00:00,33758.67,34110.05,33651.12,33967.13,4526.910974,153766173.55228463
2021-01-03 07:00:00,33967.13,34778.11,33737.19,34452.34,7968.074023,274518795.3855638
2021-01-03 08:00:00,34451.78,34670.41,33757.29,34367.68,6146.774112,211250365.71350017
2021-01-03 09:00:00,34367.35,34588.88,33800.0,34190.55,6052.678972,206944423.0261146
2021-01-03 10:00:00,34189.98,34350.0,33403.0,33877.96,6335.226642,214624554.7686103
2021-01-03 11:00:00,33877.96,34450.0,33787.55,34413.53,4116.853141,141675449.07339773
2021-01-03 12:00:00,34413.53,34600.0,33928.75,34103.72,4546.283481,155045178.87664935
2021-01-03 13:00:00,34103.73,34385.02,33800.0,33880.0,4373.738376,148182256.17888
2021-01-03 14:00:00,33877.98,34150.0,33450.0,33811.54,5928.805563,200462046.44559702
2021-01-03 15:00:00,33811.54,33873.45,32727.0,33506.62,8391.249757,281162416.93289137
2021-01-03 16:00:00,33505.15,33822.69,32650.0,32676.74,7983.739125,260882567.61545253
2021-01-03 17:00:00,32676.75,33333.33,32454.73,32909.27,7447.809163,245101962.653641
2021-01-03 18:00:00,32907.51,33031.57,32267.0,32769.76,4707.199943,154253812.40412366
2021-01-03 19:00:00,32769.79,32930.0,32455.71,32772.21,2288.439412,74997216.98234053
2021-01-03 20:00:00,32775.1,33816.0,32727.1,33726.21,5420.678183,182818930.74227643
2021-01-03 21:00:00,33725.72,33861.92,33506.0,33558.34,2123.067992,71246637.51865326
2021-01-03 22:00:00,33559.06,33661.1,33000.0,33119.14,2841.033093,94092572.75170001
2021-01-03 23:00:00,33119.14,33600.0,32600.0,33000.05,5077.560592,167559753.4140296
2021-01-04 00:00:00,33000.05,33111.44,32400.25,32843.88,4792.206831,157394666.0925443
2021-01-04 01:00:00,32843.89,33327.0,32602.47,33191.04,3390.023872,112518417.9365069
2021-01-04 02:00:00,33191.05,33588.0,32958.38,33454.22,3180.350783,106396154.77165426
2021-01-04 03:00:00,33454.21,33510.71,33160.0,33505.16,3174.209134,106352384.90813145
2021-01-04 04:00:00,33505.15,33600.0,33186.14,33257.55,3167.029273,105327634.39826116
2021-01-04 05:00:00,33257.56,33315.9,32802.25,32813.01,3990.70088,130946907.8824488
2021-01-04 06:00:00,32813.01,33408.0,32813.0,33100.02,4768.764928,157846214.49209854
2021-01-04 07:00:00,33100.02,33148.69,31505.0,32068.84,9472.376828,303768136.91683954
2021-01-04 08:00:00,32068.84,32567.88,31450.0,32045.14,6529.253248,209230834.42761472
2021-01-04 09:00:00,32045.15,32152.15,30248.85,31038.63,11271.896531,349864225.82399255
2021-01-04 10:00:00,31038.35,31227.33,28130.0,30270.76,19376.831179,586551406.180026
2021-01-04 11:00:00,30270.76,30900.2,29400.0,30743.06,9413.490067,289399489.939185
2021-01-04 12:00:00,30742.99,31434.07,30454.25,31219.02,8316.880828,259644868.90694854
2021-01-04 13:00:00,31219.03,31400.0,30600.0,31400.0,5474.654787,171904160.3118
2021-01-04 14:00:00,31400.0,32167.93,31400.0,32113.68,7479.383587,240190531.11017016
2021-01-04 15:00:00,32113.68,32185.67,31550.0,31745.72,5321.620251,168938666.43457574
2021-01-04 16:00:00,31745.71,31920.0,30723.0,31320.31,8174.285783,256021164.75215274
2021-01-04 17:00:00,31320.3,31523.01,30626.36,31024.17,4962.562729,153959389.74015993
2021-01-04 18:00:00,31022.25,31465.44,31001.0,31165.16,3361.43987,104759811.3789292
2021-01-04 19:00:00,31165.16,31855.75,31104.99,31665.51,3388.372221,107294534.4477977
2021-01-04 20:00:00,31665.52,31830.95,31210.0,31244.97,2850.963087,89078256.1244224
2021-01-04 21:00:00,31244.97,31579.0,30856.08,31014.27,3202.456127,99321838.98593229
2021-01-04 22:00:00,31014.27,31474.78,30950.0,31332.05,1646.484138,51587723.3360229
2021-01-04 23:00:00,31332.05,32031.01,31150.0,31988.71,4193.648728,134149413.00186089
2021-01-05 00:00:00,31989.75,32853.38,31989.74,32430.49,7707.64341,249962652.5315709
2021-01-05 01:00:00,32430.69,32796.0,32224.25,32786.06,4246.96065,139241106.688539
2021-01-05 02:00:00,32786.05,32828.26,32221.1,32306.64,3163.430044,102199795.59669216
2021-01-05 03:00:00,32306.64,32536.09,31130.86,31200.0,5695.044496,177685388.2752
2021-01-05 04:00:00,31190.04,31538.45,30418.0,30858.98,7229.486366,223094575.17866668
2021-01-05 05:00:00,30858.98,31366.16,29900.0,30436.25,6366.976124,193786877.054095
2021-01-05 06:00:00,30436.26,31270.43,29900.0,31123.25,6611.210735,205762364.50808874
2021-01-05 07:00:00,31123.25,31312.03,30759.47,30817.77,2811.383953,86640584.04524481
2021-01-05 08:00:00,30817.78,31522.19,30817.78,31192.09,3237.120957,100972568.23163013
2021-01-05 09:00:00,31192.16,31821.94,31157.9,31569.63,3935.597979,124245372.02577777
2021-01-05 10:00:00,31569.63,31687.11,31088.33,31345.77,3174.760396,99515309.17812492
2021-01-05 11:00:00,31347.73,31777.0,31284.15,31776.66,2908.121768,92410396.66033489
2021-01-05 12:00:00,31776.66,32057.13,31563.84,31585.01,4161.551334,131442640.49990332
2021-01-05 13:00:00,31585.0,31900.0,31416.27,31460.01,2523.023165,79374334.00113165
2021-01-05 14:00:00,31460.11,32375.07,31111.78,32342.33,5942.102854,192181451.39800984
2021-01-05 15:00:00,32343.61,32374.31,31929.41,32099.98,3616.599016,116092756.08161968
2021-01-05 16:00:00,32099.97,32670.0,31763.23,32469.9,4926.171616,159952299.75435838
2021-01-05 17:00:00,32469.9,32790.0,32254.18,32742.73,3599.645718,117862227.84013015
2021-01-05 18:00:00,32742.73,33433.55,32650.03,33372.84,6647.009921,221829598.5719456
2021-01-05 19:00:00,33372.83,34187.09,33098.82,33697.75,8659.338503,291800224.0394683
2021-01-05 20:00:00,33693.8,34044.13,33318.0,33969.17,5800.653907,197043398.67804718
2021-01-05 21:00:00,33968.66,33996.03,33471.94,33699.63,3682.074151,124084536.52126412
2021-01-05 22:00:00,33699.63,34360.0,33695.6,34183.42,4616.403334,157804454.05552226
2021-01-05 23:00:00,34183.43,34284.91,33650.0,33949.53,4787.686641,162539711.24922875
2021-01-06 00:00:00,33949.53,34107.59,33288.0,33918.01,6106.351924,207115305.62175125
2021-01-06 01:00:00,33918.01,34018.93,33513.05,33811.28,3237.659354,109469406.96271311
2021-01-06 02:00:00,33811.28,34135.84,33768.32,33873.3,3252.254556,110164594.2517548
2021-01-06 03:00:00,33873.3,34170.0,33652.0,34117.59,3183.088045,108599292.85321154
2021-01-06 04:00:00,34116.76,35766.58,34109.83,35325.91,12735.417627,449890216.9038156
2021-01-06 05:00:00,35326.82,35590.0,34510.0,34978.91,5595.783676,195734413.5822732
2021-01-06 06:00:00,34977.27,35229.1,34782.44,35125.51,3923.026403,137798303.14884055
2021-01-06 07:00:00,35125.49,35248.63,34350.0,34676.4,3898.737284,135194173.5548976
2021-01-06 08:00:00,34666.8,34950.77,34015.0,34594.28,5094.759196,176249526.15899888
2021-01-06 09:00:00,34596.08,34607.69,33357.9,33919.5,5753.91297,195169850.985915
2021-01-06 10:00:00,33919.5,34550.0,33834.61,34417.36,3851.574259,132561017.83873624
2021-01-06 11:00:00,34417.37,35200.0,34342.87,34918.53,6362.804142,222179767.31655124
